	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
274	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
275	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
276	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
277	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
278	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
279	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
280	University of Reims	Computer Science	$1,400		2018-2019	3rd	
281	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
282	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
283	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
284	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
285	Baylor University (BU)	History	$17,500	0.88	2018-2019		
286	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
287	University of Arizona (U of A)		$20,150	0.97	2019-2020		
288	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
289	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
290	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
291	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
292	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
293	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
294	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
295			$39,000		2018-2019	4th	
296			$39,000		2018-2019	4th	
297	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
298	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
299	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
300	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
301	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
302	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
303	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
304	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
305	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
306	FAMU	COPPS	$16,183		2018-2019		
307	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
308	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
309	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
310	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
311	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
312	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
313	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
314	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
315	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
316	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
317	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
318	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
319	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
320	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
321	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
322	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
323	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
324	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
325	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
326	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
327	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
328	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
329	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
330	University of Reims	Computer Science	$1,400		2018-2019	3rd	
331	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
332	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
333	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
334	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
335	Baylor University (BU)	History	$17,500	0.88	2018-2019		
336	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
337	University of Arizona (U of A)		$20,150	0.97	2019-2020		
338	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
339	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
340	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
341	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
342	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
343	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
344	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
345			$39,000		2018-2019	4th	
346			$39,000		2018-2019	4th	
347	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
348	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
349	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
350	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
351	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
352	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
353	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
354	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
355	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
356	FAMU	COPPS	$16,183		2018-2019		
357	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
358	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
359	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
360	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
361	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
362	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
363	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
364	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
365	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
366	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
367	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
368	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
369	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
370	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
371	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
372	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
373	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
374	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
375	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
376	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
377	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
378	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
379	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
380	University of Reims	Computer Science	$1,400		2018-2019	3rd	
381	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
382	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
383	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
384	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
385	Baylor University (BU)	History	$17,500	0.88	2018-2019		
386	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
387	University of Arizona (U of A)		$20,150	0.97	2019-2020		
388	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
389	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
390	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
391	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
392	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
393	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
394	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
395			$39,000		2018-2019	4th	
396			$39,000		2018-2019	4th	
397	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
398	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
399	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
400	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
401	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
402	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
403	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
404	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
405	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
